S2801_C01_001E,S2801_C01_005E,S2801_C01_006E,FIPS,STATEFP,COUNTYFP,TRACTCE
1790,1341,89,48001950100,48,001,950100
95,89,5,48001950401,48,001,950401
112,93,0,48001950402,48,001,950402
1584,1180,203,48001950500,48,001,950500
1792,1206,176,48001950600,48,001,950600
911,624,239,48001950700,48,001,950700
2080,1706,349,48001950800,48,001,950800
1854,1249,161,48001950901,48,001,950901
1893,1280,113,48001950902,48,001,950902
2857,2158,397,48001951000,48,001,951000
1709,1390,256,48001951100,48,001,951100
725,689,69,48003950100,48,003,950100
2528,2168,225,48003950200,48,003,950200
1456,1194,287,48003950300,48,003,950300
864,636,38,48003950400,48,003,950400
2041,1401,170,48005000101,48,005,000101
1600,1249,53,48005000102,48,005,000102
2437,2027,130,48005000200,48,005,000200
2056,1782,192,48005000301,48,005,000301
2025,1542,140,48005000302,48,005,000302
1833,1589,309,48005000400,48,005,000400
1444,1022,234,48005000500,48,005,000500
1873,1605,262,48005000600,48,005,000600
1138,851,153,48005000700,48,005,000700
2203,1739,202,48005000800,48,005,000800
2485,1776,14,48005000901,48,005,000901
1607,1393,18,48005000902,48,005,000902
1338,1070,251,48005001001,48,005,001001
1433,1006,36,48005001002,48,005,001002
2408,1921,240,48005001100,48,005,001100
1055,782,151,48005001200,48,005,001200
2059,1479,272,48005001300,48,005,001300
2411,1865,169,48007950100,48,007,950100
606,494,41,48007950200,48,007,950200
2833,2309,176,48007950300,48,007,950300
1405,1203,165,48007950400,48,007,950400
2293,1583,112,48007950500,48,007,950500
0,0,0,48007990000,48,007,990000
1106,976,51,48009020100,48,009,020100
956,688,149,48009020200,48,009,020200
1390,1096,237,48009020300,48,009,020300
694,549,44,48011950100,48,011,950100
2549,2032,536,48013960100,48,013,960100
2076,1836,211,48013960201,48,013,960201
3241,2738,803,48013960202,48,013,960202
1166,933,217,48013960300,48,013,960300
777,593,121,48013960401,48,013,960401
2908,2526,345,48013960402,48,013,960402
838,630,188,48013960500,48,013,960500
1991,1621,243,48013960600,48,013,960600
983,668,177,48015760100,48,015,760100
2131,1649,177,48015760200,48,015,760200
2551,2115,318,48015760300,48,015,760300
1558,1199,195,48015760400,48,015,760400
1767,1465,119,48015760501,48,015,760501
2311,1748,436,48015760502,48,015,760502
2054,1619,300,48017950100,48,017,950100
1774,1482,106,48019000101,48,019,000101
2207,1507,216,48019000102,48,019,000102
1021,775,89,48019000200,48,019,000200
2467,1893,105,48019000300,48,019,000300
930,760,107,48019000400,48,019,000400
2687,2145,367,48021950100,48,021,950100
2481,1977,355,48021950200,48,021,950200
5034,4098,253,48021950300,48,021,950300
3516,2717,222,48021950400,48,021,950400
2023,1494,181,48021950501,48,021,950501
2179,1767,150,48021950502,48,021,950502
1939,1399,224,48021950600,48,021,950600
1725,1294,67,48021950700,48,021,950700
1824,1548,339,48021950801,48,021,950801
2163,1886,251,48021950802,48,021,950802
1530,1053,137,48023950300,48,023,950300
612,427,54,48025950100,48,025,950100
345,273,39,48025950201,48,025,950201
1677,1311,303,48025950202,48,025,950202
1998,1452,264,48025950300,48,025,950300
628,455,70,48025950400,48,025,950400
2189,1834,367,48025950500,48,025,950500
820,571,161,48025950600,48,025,950600
2445,1950,220,48027020100,48,027,020100
2816,2493,66,48027020201,48,027,020201
2700,2201,244,48027020202,48,027,020202
3606,3227,98,48027020300,48,027,020300
1298,1035,199,48027020401,48,027,020401
925,674,166,48027020402,48,027,020402
1329,1087,208,48027020500,48,027,020500
964,837,171,48027020600,48,027,020600
746,497,118,48027020701,48,027,020701
588,460,144,48027020702,48,027,020702
999,579,68,48027020800,48,027,020800
977,679,182,48027020900,48,027,020900
1671,1192,204,48027021000,48,027,021000
2110,1706,161,48027021100,48,027,021100
1607,1310,182,48027021201,48,027,021201
1549,1257,64,48027021202,48,027,021202
1999,1727,172,48027021203,48,027,021203
2068,1531,113,48027021301,48,027,021301
1261,974,27,48027021302,48,027,021302
3647,3181,171,48027021303,48,027,021303
1463,1156,135,48027021400,48,027,021400
2241,1804,177,48027021500,48,027,021500
2044,1477,274,48027021601,48,027,021601
454,358,28,48027021602,48,027,021602
3757,3353,280,48027021700,48,027,021700
3277,2882,151,48027021800,48,027,021800
1175,943,70,48027021901,48,027,021901
3080,2687,59,48027021903,48,027,021903
4089,3403,82,48027021904,48,027,021904
2825,2328,236,48027022000,48,027,022000
1724,1372,79,48027022101,48,027,022101
1840,1371,127,48027022103,48,027,022103
1773,1376,124,48027022104,48,027,022104
765,638,15,48027022105,48,027,022105
1618,1267,183,48027022200,48,027,022200
1681,1304,135,48027022300,48,027,022300
2160,1556,160,48027022401,48,027,022401
2301,2121,0,48027022402,48,027,022402
1550,1369,45,48027022403,48,027,022403
2547,2296,88,48027022404,48,027,022404
1139,1033,41,48027022405,48,027,022405
1206,924,82,48027022501,48,027,022501
4499,4064,147,48027022502,48,027,022502
1784,1083,148,48027022600,48,027,022600
1100,741,141,48027022801,48,027,022801
1611,1027,120,48027022900,48,027,022900
3334,3098,64,48027023000,48,027,023000
1782,1351,176,48027023103,48,027,023103
1330,1063,93,48027023104,48,027,023104
5325,4655,56,48027023105,48,027,023105
3335,2876,12,48027023106,48,027,023106
2608,2193,167,48027023107,48,027,023107
4852,3729,54,48027023108,48,027,023108
463,431,11,48027023201,48,027,023201
571,504,16,48027023202,48,027,023202
430,370,17,48027023203,48,027,023203
224,217,0,48027023204,48,027,023204
3002,2588,134,48027023300,48,027,023300
1712,1383,145,48027023402,48,027,023402
2441,2138,61,48027023403,48,027,023403
1414,1235,176,48027023404,48,027,023404
858,505,58,48027023500,48,027,023500
0,0,0,48027980001,48,027,980001
0,0,0,48027980002,48,027,980002
0,0,0,48027980003,48,027,980003
1786,1489,407,48029110100,48,029,110100
1411,1166,218,48029110300,48,029,110300
786,513,246,48029110500,48,029,110500
1305,740,303,48029110600,48,029,110600
554,341,118,48029110700,48,029,110700
860,643,131,48029110800,48,029,110800
1016,946,28,48029110900,48,029,110900
1188,1004,285,48029111000,48,029,111000
922,911,40,48029120100,48,029,120100
3164,2980,19,48029120300,48,029,120300
2172,1818,48,48029120400,48,029,120400
3231,2632,372,48029120501,48,029,120501
1706,1400,468,48029120502,48,029,120502
3101,2840,244,48029120600,48,029,120600
2436,1893,346,48029120701,48,029,120701
2365,1977,62,48029120702,48,029,120702
2594,2140,77,48029120800,48,029,120800
1043,726,165,48029120901,48,029,120901
3290,2990,711,48029120902,48,029,120902
2616,2259,102,48029121000,48,029,121000
3400,2894,61,48029121108,48,029,121108
1775,1605,92,48029121110,48,029,121110
2281,1978,207,48029121111,48,029,121111
1793,1392,152,48029121112,48,029,121112
2233,1844,0,48029121115,48,029,121115
2212,1964,197,48029121116,48,029,121116
1930,1725,64,48029121117,48,029,121117
2449,2253,61,48029121118,48,029,121118
2260,2132,134,48029121119,48,029,121119
1699,1470,90,48029121120,48,029,121120
1011,953,35,48029121121,48,029,121121
1827,1687,43,48029121122,48,029,121122
1619,1171,361,48029121203,48,029,121203
3817,3301,585,48029121204,48,029,121204
1456,1162,210,48029121205,48,029,121205
2631,2318,427,48029121206,48,029,121206
2224,1795,36,48029121300,48,029,121300
2090,1796,178,48029121402,48,029,121402
2058,1586,261,48029121403,48,029,121403
1891,1315,484,48029121404,48,029,121404
2990,2683,87,48029121501,48,029,121501
2580,1993,170,48029121504,48,029,121504
1542,1270,73,48029121505,48,029,121505
1218,1103,135,48029121506,48,029,121506
1412,1130,99,48029121507,48,029,121507
1216,996,260,48029121508,48,029,121508
2019,1716,245,48029121601,48,029,121601
2925,2718,192,48029121604,48,029,121604
715,567,45,48029121605,48,029,121605
2158,1758,142,48029121606,48,029,121606
1500,1211,124,48029121701,48,029,121701
2758,2324,130,48029121702,48,029,121702
2811,2640,192,48029121802,48,029,121802
1689,1427,20,48029121803,48,029,121803
2458,2123,324,48029121804,48,029,121804
1016,931,35,48029121808,48,029,121808
1696,1493,91,48029121809,48,029,121809
1440,1324,9,48029121810,48,029,121810
1804,1616,42,48029121811,48,029,121811
2030,1879,51,48029121812,48,029,121812
545,458,2,48029121813,48,029,121813
2140,2046,83,48029121903,48,029,121903
1055,966,15,48029121904,48,029,121904
2274,2097,12,48029121905,48,029,121905
2181,2054,18,48029121906,48,029,121906
4359,4081,96,48029121907,48,029,121907
824,777,0,48029121908,48,029,121908
3185,2965,74,48029121909,48,029,121909
2452,2282,58,48029121910,48,029,121910
539,356,154,48029130200,48,029,130200
969,659,166,48029130300,48,029,130300
1269,927,389,48029130401,48,029,130401
1258,972,315,48029130402,48,029,130402
